clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,ts-station-service/src/test/java/fdse/microservice/controller/StationControllerTest.java,0,ts-station-service,55,61,7,test,[],0
1,1,ts-station-service/src/test/java/fdse/microservice/controller/StationControllerTest.java,0,ts-station-service,66,72,7,test,[],0
1,2,ts-station-service/src/test/java/fdse/microservice/controller/StationControllerTest.java,0,ts-station-service,77,83,7,test,[],0
1,3,ts-security-service/src/test/java/security/controller/SecurityControllerTest.java,224,ts-security-service,52,58,7,test,[],0
1,4,ts-security-service/src/test/java/security/controller/SecurityControllerTest.java,224,ts-security-service,63,69,7,test,[],0
1,5,ts-inside-payment-service/src/test/java/inside_payment/controller/InsidePaymentControllerTest.java,238,ts-inside-payment-service,55,61,7,test,[],0
1,6,ts-inside-payment-service/src/test/java/inside_payment/controller/InsidePaymentControllerTest.java,238,ts-inside-payment-service,102,108,7,test,[],0
1,7,ts-user-service/src/test/java/user/controller/UserControllerTest.java,294,ts-user-service,72,78,7,test,[],0
1,8,ts-user-service/src/test/java/user/controller/UserControllerTest.java,294,ts-user-service,93,99,7,test,[],0
1,9,ts-route-plan-service/src/test/java/plan/controller/RoutePlanControllerTest.java,320,ts-route-plan-service,55,61,7,test,[],0
1,10,ts-route-plan-service/src/test/java/plan/controller/RoutePlanControllerTest.java,320,ts-route-plan-service,66,72,7,test,[],0
1,11,ts-contacts-service/src/test/java/contacts/controller/ContactsControllerTest.java,337,ts-contacts-service,54,60,7,test,[],0
1,12,ts-contacts-service/src/test/java/contacts/controller/ContactsControllerTest.java,337,ts-contacts-service,65,71,7,test,[],0
1,13,ts-contacts-service/src/test/java/contacts/controller/ContactsControllerTest.java,337,ts-contacts-service,86,92,7,test,[],0
1,14,ts-rebook-service/src/test/java/rebook/controller/RebookControllerTest.java,348,ts-rebook-service,54,60,7,test,[],0
1,15,ts-order-other-service/src/test/java/other/controller/OrderOtherControllerTest.java,371,ts-order-other-service,58,64,7,test,[],0
1,16,ts-order-other-service/src/test/java/other/controller/OrderOtherControllerTest.java,371,ts-order-other-service,69,75,7,test,[],0
1,17,ts-order-other-service/src/test/java/other/controller/OrderOtherControllerTest.java,371,ts-order-other-service,80,86,7,test,[],0
1,18,ts-order-other-service/src/test/java/other/controller/OrderOtherControllerTest.java,371,ts-order-other-service,91,97,7,test,[],0
1,19,ts-order-other-service/src/test/java/other/controller/OrderOtherControllerTest.java,371,ts-order-other-service,102,108,7,test,[],0
1,20,ts-order-other-service/src/test/java/other/controller/OrderOtherControllerTest.java,371,ts-order-other-service,148,154,7,test,[],0
1,21,ts-order-other-service/src/test/java/other/controller/OrderOtherControllerTest.java,371,ts-order-other-service,158,164,7,test,[],0
1,22,ts-order-other-service/src/test/java/other/controller/OrderOtherControllerTest.java,371,ts-order-other-service,169,175,7,test,[],0
1,23,ts-admin-user-service/src/test/java/adminuser/controller/AdminUserControllerTest.java,391,ts-admin-user-service,52,58,7,test,[],0
1,24,ts-admin-user-service/src/test/java/adminuser/controller/AdminUserControllerTest.java,391,ts-admin-user-service,63,69,7,test,[],0
1,25,ts-travel-service/src/test/java/travel/controller/TravelControllerTest.java,403,ts-travel-service,75,81,7,test,[],0
1,26,ts-travel-service/src/test/java/travel/controller/TravelControllerTest.java,403,ts-travel-service,95,101,7,test,[],0
1,27,ts-travel-service/src/test/java/travel/controller/TravelControllerTest.java,403,ts-travel-service,137,143,7,test,[],0
1,28,ts-admin-route-service/src/test/java/adminroute/controller/AdminRouteControllerTest.java,428,ts-admin-route-service,52,58,7,test,[],0
1,29,ts-order-service/src/test/java/order/controller/OrderControllerTest.java,460,ts-order-service,58,64,7,test,[],0
1,30,ts-order-service/src/test/java/order/controller/OrderControllerTest.java,460,ts-order-service,69,75,7,test,[],0
1,31,ts-order-service/src/test/java/order/controller/OrderControllerTest.java,460,ts-order-service,80,86,7,test,[],0
1,32,ts-order-service/src/test/java/order/controller/OrderControllerTest.java,460,ts-order-service,91,97,7,test,[],0
1,33,ts-order-service/src/test/java/order/controller/OrderControllerTest.java,460,ts-order-service,102,108,7,test,[],0
1,34,ts-order-service/src/test/java/order/controller/OrderControllerTest.java,460,ts-order-service,148,154,7,test,[],0
1,35,ts-order-service/src/test/java/order/controller/OrderControllerTest.java,460,ts-order-service,158,164,7,test,[],0
1,36,ts-order-service/src/test/java/order/controller/OrderControllerTest.java,460,ts-order-service,169,175,7,test,[],0
1,37,ts-food-service/src/test/java/adminorder/controller/FoodControllerTest.java,480,ts-food-service,53,59,7,test,[],0
1,38,ts-food-service/src/test/java/adminorder/controller/FoodControllerTest.java,480,ts-food-service,64,70,7,test,[],0
1,39,ts-price-service/src/test/java/price/controller/PriceControllerTest.java,494,ts-price-service,61,67,7,test,[],0
1,40,ts-price-service/src/test/java/price/controller/PriceControllerTest.java,494,ts-price-service,72,78,7,test,[],0
1,41,ts-price-service/src/test/java/price/controller/PriceControllerTest.java,494,ts-price-service,83,89,7,test,[],0
