clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,customer-core/src/main/java/com/lakesidemutual/customercore/domain/customer/Address.java,5,customer-core,39,53,15,logic,[],0
1,1,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/domain/customer/Address.java,74,customer-self-service-backend,43,57,15,logic,[],0
1,2,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/domain/insurancequoterequest/InsuranceOptionsEntity.java,81,customer-self-service-backend,40,54,15,logic,[],0
1,3,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/domain/insurancequoterequest/InsuranceQuoteEntity.java,82,customer-self-service-backend,43,57,15,logic,[],0
1,4,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/domain/insurancequoterequest/InsuranceQuoteRequestAggregateRoot.java,84,customer-self-service-backend,53,67,15,logic,[],0
1,5,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/domain/insurancequoterequest/Address.java,151,policy-management-backend,43,57,15,logic,[],0
1,6,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/domain/insurancequoterequest/InsuranceOptionsEntity.java,154,policy-management-backend,42,56,15,logic,[],0
1,7,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/domain/insurancequoterequest/InsuranceQuoteEntity.java,155,policy-management-backend,45,59,15,logic,[],0
1,8,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/domain/insurancequoterequest/InsuranceQuoteRequestAggregateRoot.java,157,policy-management-backend,52,66,15,logic,[],0
2,0,customer-core/src/main/java/com/lakesidemutual/customercore/domain/customer/CustomerId.java,8,customer-core,59,73,15,logic,[],0
2,1,customer-management-backend/src/main/java/com/lakesidemutual/customermanagement/domain/customer/CustomerId.java,38,customer-management-backend,48,62,15,logic,[],0
2,2,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/domain/customer/CustomerId.java,75,customer-self-service-backend,59,73,15,logic,[],0
2,3,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/domain/customer/CustomerId.java,150,policy-management-backend,66,80,15,logic,[],0
2,4,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/domain/policy/PolicyId.java,169,policy-management-backend,36,50,15,logic,[],0
3,0,customer-core/src/main/java/com/lakesidemutual/customercore/domain/customer/CustomerProfileEntity.java,9,customer-core,135,138,4,logic,[],0
3,1,customer-core/src/main/java/com/lakesidemutual/customercore/domain/customer/CustomerProfileEntity.java,9,customer-core,138,141,4,logic,[],0
3,2,customer-core/src/main/java/com/lakesidemutual/customercore/interfaces/dtos/customer/CustomerProfileUpdateRequestDto.java,24,customer-core,143,146,4,logic,[],0
3,3,customer-core/src/main/java/com/lakesidemutual/customercore/interfaces/dtos/customer/CustomerProfileUpdateRequestDto.java,24,customer-core,147,150,4,logic,[],0
3,4,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/interfaces/dtos/customer/CustomerProfileUpdateRequestDto.java,119,customer-self-service-backend,136,139,4,logic,[],0
3,5,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/interfaces/dtos/customer/CustomerProfileUpdateRequestDto.java,119,customer-self-service-backend,140,143,4,logic,[],0
3,6,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/interfaces/dtos/customer/CustomerRegistrationRequestDto.java,120,customer-self-service-backend,116,119,4,logic,[],0
3,7,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/interfaces/dtos/customer/CustomerRegistrationRequestDto.java,120,customer-self-service-backend,119,122,4,logic,[],0
4,0,customer-core/src/main/java/com/lakesidemutual/customercore/interfaces/configuration/WebSecurityConfiguration.java,17,customer-core,52,53,2,logic,[],0
4,1,customer-management-backend/src/main/java/com/lakesidemutual/customermanagement/interfaces/configuration/WebSecurityConfiguration.java,53,customer-management-backend,27,28,2,logic,[],0
4,2,customer-self-service-backend/src/main/java/com/lakesidemutual/customerselfservice/interfaces/configuration/WebSecurityConfiguration.java,109,customer-self-service-backend,68,69,2,logic,[],0
4,3,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/interfaces/configuration/WebSecurityConfiguration.java,185,policy-management-backend,26,27,2,logic,[],0
5,0,customer-core/src/main/java/com/lakesidemutual/customercore/interfaces/dtos/customer/CustomerProfileUpdateRequestDto.java,24,customer-core,49,58,10,logic,[],0
5,1,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/interfaces/dtos/customer/CustomerProfileDto.java,194,policy-management-backend,25,34,10,logic,[],0
5,2,policy-management-backend/src/main/java/com/lakesidemutual/policymanagement/interfaces/dtos/policy/CreatePolicyRequestDto.java,205,policy-management-backend,43,52,10,logic,[],0
