clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,go/launcher/client/client.go,2,go-launcher-client,31,35,5,logic,[],0
1,1,go/opentelemetry/client/client.go,4,,78,82,5,logic,[],0
1,2,go/otlp/client/client.go,8,go-otlp-client,94,98,5,logic,[],0
2,0,go/launcher/client/client.go,2,go-launcher-client,36,49,14,logic,[],0
2,1,go/opentelemetry/client/client.go,4,,81,94,14,logic,[],0
3,0,go/launcher/client/client.go,2,go-launcher-client,35,49,15,logic,[],0
3,1,go/otlp/client/client.go,8,go-otlp-client,99,113,15,logic,[],0
4,0,go/opentelemetry/client/client.go,4,,36,49,14,logic,[],0
4,1,go/opentracing/server/server.go,7,go-opentracing-server,58,71,14,logic,[],0
5,0,go/opentelemetry/server/server.go,5,,65,78,14,logic,[],0
5,1,go/opentracing/client/client.go,6,go-opentracing-client,30,43,14,logic,[],0
6,0,go/opentelemetry/client/client.go,4,,34,49,16,logic,[],0
6,1,go/opentracing/client/client.go,6,go-opentracing-client,28,43,16,logic,[],0
7,0,go/opentelemetry/client/client.go,4,,65,77,13,logic,[],0
7,1,go/opentelemetry/server/server.go,5,,94,106,13,logic,[],0
7,2,go/server.go,10,,19,34,16,logic,[],0
8,0,go/client.go,0,,23,37,15,logic,[],0
8,1,go/first_tracer.go,1,,16,29,14,logic,[],0
8,2,go/opentelemetry/client/client.go,4,,65,78,14,logic,[],0
9,0,go/client.go,0,,23,39,17,logic,[],0
9,1,go/first_tracer.go,1,,16,30,15,logic,[],0
9,2,go/opentelemetry/server/server.go,5,,94,108,15,logic,[],0
10,0,go/launcher/client/client.go,2,go-launcher-client,29,36,8,logic,[],0
10,1,go/otlp/client/client.go,8,go-otlp-client,92,99,8,logic,[],0
11,0,go/client.go,0,,22,36,15,logic,[],0
11,1,go/first_tracer.go,1,,15,28,14,logic,[],0
11,2,go/server.go,10,,16,34,19,logic,[],0
12,0,go/opentelemetry/client/client.go,4,,81,103,23,logic,[],0
12,1,go/otlp/client/client.go,8,go-otlp-client,100,122,23,logic,[],0
13,0,go/client.go,0,,22,39,18,logic,[],0
13,1,go/first_tracer.go,1,,15,30,16,logic,[],0
14,0,go/launcher/server/server.go,3,go-launcher-server,59,73,15,logic,[],0
14,1,go/opentelemetry/server/server.go,5,,110,124,15,logic,[],0
14,2,go/otlp/server/server.go,9,go-otlp-server,128,142,15,logic,[],0
15,0,go/launcher/server/server.go,3,go-launcher-server,27,54,28,logic,[],0
15,1,go/otlp/server/server.go,9,go-otlp-server,42,69,28,logic,[],0
16,0,go/opentracing/server/server.go,7,go-opentracing-server,29,58,30,logic,[],0
16,1,go/otlp/server/server.go,9,go-otlp-server,40,69,30,logic,[],0
17,0,go/launcher/server/server.go,3,go-launcher-server,27,55,29,logic,[],0
17,1,go/opentelemetry/server/server.go,5,,38,66,29,logic,[],0
17,2,go/opentracing/server/server.go,7,go-opentracing-server,31,59,29,logic,[],0
18,0,go/opentelemetry/server/server.go,5,,99,124,26,logic,[],0
18,1,go/otlp/server/server.go,9,go-otlp-server,116,142,27,logic,[],0
19,0,go/opentelemetry/server/server.go,5,,32,65,34,logic,[],0
19,1,go/otlp/server/server.go,9,go-otlp-server,36,69,34,logic,[],0
20,0,go/opentracing/client/client.go,6,go-opentracing-client,30,72,43,logic,[],0
20,1,go/opentracing/server/server.go,7,go-opentracing-server,58,100,43,logic,[],0
21,0,go/opentelemetry/client/client.go,4,,36,78,43,logic,[],0
21,1,go/opentelemetry/server/server.go,5,,65,107,43,logic,[],0
22,0,go/opentelemetry/server/server.go,5,,36,78,43,logic,[],0
22,1,go/opentracing/server/server.go,7,go-opentracing-server,29,71,43,logic,[],0
23,0,go/otlp/client/client.go,8,go-otlp-client,39,93,55,logic,[],0
23,1,go/otlp/server/server.go,9,go-otlp-server,69,124,56,logic,[],0
