clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,python/launcher/server.py,6,py-launcher-client,58,68,11,logic,[],0
1,1,python/lstrace/server.py,9,py-lstrace-client,58,68,11,logic,[],0
1,2,python/opentracing/server.py,11,py-opentracing-client,60,70,11,logic,[],0
1,3,python/otlp/server.py,14,py-otlp-server,58,68,11,logic,[],0
2,0,python/launcher/server.py,6,py-launcher-client,50,58,9,logic,[],0
2,1,python/lstrace/server.py,9,py-lstrace-client,50,58,9,logic,[],0
2,2,python/opentracing/server.py,11,py-opentracing-client,52,60,9,logic,[],0
2,3,python/otlp/server.py,14,py-otlp-server,50,58,9,logic,[],0
3,0,demo-client/lstrace/client.py,0,demo-client-lstrace,11,30,20,logic,"[""d4628d3a8092028b2ac772113e70b345b5acfb71""]",1
3,1,demo-client/otlp/client.py,1,demo-client-otlp,8,27,20,logic,"[""d4628d3a8092028b2ac772113e70b345b5acfb71""]",1
4,0,python/launcher/client.py,5,py-launcher-client,19,39,21,logic,[],0
4,1,python/lstrace/client.py,7,py-lstrace-client,20,40,21,logic,[],0
4,2,python/otlp/client.py,12,py-otlp-server,17,39,23,logic,[],0
5,0,python/lstrace/client.py,7,py-lstrace-client,20,40,21,logic,[],0
5,1,python/otlp/client.py,12,py-otlp-server,17,39,23,logic,[],0
6,0,python/launcher/server.py,6,py-launcher-client,15,50,36,logic,[],0
6,1,python/lstrace/server.py,9,py-lstrace-client,15,50,36,logic,[],0
6,2,python/opentracing/server.py,11,py-opentracing-client,17,52,36,logic,[],0
6,3,python/otlp/server.py,14,py-otlp-server,15,50,36,logic,[],0
7,0,python/launcher/server.py,6,py-launcher-client,15,80,66,logic,[],0
7,1,python/lstrace/server.py,9,py-lstrace-client,15,80,66,logic,[],0
7,2,python/otlp/server.py,14,py-otlp-server,15,80,66,logic,[],0
8,0,python/lstrace/server.py,9,py-lstrace-client,15,80,66,logic,[],0
8,1,python/otlp/server.py,14,py-otlp-server,15,80,66,logic,[],0
