clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/messaging/AccountServiceChannelConfiguration.java,19,ftgo-accounting-service,5,19,15,logic,[],0
1,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/RevisedOrder.java,232,ftgo-order-service,5,19,15,logic,[],0
2,0,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/web/GetAccountResponse.java,22,ftgo-accounting-service,6,21,16,logic,[],0
2,1,ftgo-common/src/test/java/net/chrisrichardson/ftgo/common/MoneySerializationTest.java,59,,42,58,17,test,[],0
3,0,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,23,ftgo-accounting-service,14,28,15,logic,[],0
3,1,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,28,,15,29,15,logic,[],0
3,2,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,29,,14,28,15,logic,[],0
3,3,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/ConfirmReviseTicketCommand.java,151,,16,31,16,logic,[],0
4,0,ftgo-consumer-service/src/main/java/net/chrisrichardson/ftgo/consumerservice/web/CreateConsumerRequest.java,73,ftgo-consumer-service,5,19,15,logic,[],0
4,1,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/lambda/GetRestaurantResponse.java,332,,3,17,15,logic,[],0
5,0,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/messaging/RestaurantEventMapper.java,101,ftgo-delivery-service,12,13,2,logic,[],0
5,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/messaging/RestaurantEventMapper.java,238,ftgo-order-service,19,20,2,logic,[],0
6,0,ftgo-delivery-service/src/test/java/net/chrisrichardson/ftgo/deliveryservice/domain/DeliveryServiceTest.java,104,ftgo-delivery-service,51,60,10,test,[],0
6,1,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/domain/OrderServiceTest.java,272,ftgo-order-service,57,64,8,test,[],0
7,0,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/dynamodb/Order.java,170,ftgo-order-history-service,43,59,17,logic,[],0
7,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/Order.java,210,ftgo-order-service,68,84,17,logic,[],0
8,0,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/main/AccountingServiceMain.java,15,ftgo-accounting-service,16,26,11,logic,[],0
8,1,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/main/OrderHistoryServiceMain.java,175,ftgo-order-history-service,13,23,11,logic,[],0
9,0,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,23,ftgo-accounting-service,7,20,14,logic,[],0
9,1,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,28,,8,21,14,logic,[],0
9,2,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,29,,7,20,14,logic,[],0
9,3,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Restaurant.java,96,ftgo-delivery-service,12,26,15,logic,[],0
9,4,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/web/GetOrderResponse.java,264,ftgo-order-service,7,20,14,logic,[],0
10,0,ftgo-api-gateway/src/main/java/net/chrisrichardson/ftgo/apiagateway/proxies/OrderInfo.java,42,ftgo-api-gateway,12,24,13,logic,[],0
10,1,ftgo-restaurant-service/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/Restaurant.java,296,ftgo-restaurant-service,32,44,13,logic,[],0
10,2,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/Restaurant.java,321,,32,44,13,logic,[],0
11,0,ftgo-consumer-service/src/main/java/net/chrisrichardson/ftgo/consumerservice/api/ValidateOrderByConsumer.java,61,ftgo-consumer-service,13,26,14,logic,[],0
11,1,ftgo-restaurant-service/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/RestaurantMenu.java,298,ftgo-restaurant-service,19,32,14,logic,[],0
11,2,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/RestaurantMenu.java,322,,19,32,14,logic,[],0
12,0,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Delivery.java,91,ftgo-delivery-service,81,98,18,logic,[],0
12,1,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,ftgo-order-service,17,35,19,test,[],0
12,2,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,ftgo-order-service,21,39,19,test,[],0
12,3,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,ftgo-order-service,24,43,20,test,[],0
12,4,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,ftgo-order-service,29,47,19,test,[],0
12,5,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/events/OrderLineItem.java,286,,70,88,19,logic,[],0
13,0,ftgo-kitchen-service/src/integration-test/java/net/chrisrichardson/ftgo/kitchenservice/contract/MessagingBase.java,114,ftgo-kitchen-service,25,32,8,logic,[],0
13,1,ftgo-restaurant-service/src/integration-test/java/net/chrisrichardson/ftgo/restaurantservice/contract/DeliveryserviceMessagingBase.java,293,ftgo-restaurant-service,25,32,8,logic,[],0
14,0,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/dynamodb/OrderHistoryDaoDynamoDb.java,171,ftgo-order-history-service,163,174,12,logic,[],0
14,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/createorder/CreateOrderSagaState.java,258,ftgo-order-service,75,80,6,logic,[],0
15,0,ftgo-order-history-service/src/test/java/net/chrisrichardson/ftgo/cqrs/orderhistory/web/OrderHistoryControllerTest.java,185,ftgo-order-history-service,21,34,14,test,[],0
15,1,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/messaging/OrderEventConsumerTest.java,275,ftgo-order-service,15,29,15,test,[],0
16,0,ftgo-order-history-service/src/test/java/net/chrisrichardson/ftgo/cqrs/orderhistory/web/OrderHistoryControllerTest.java,185,ftgo-order-history-service,42,55,14,test,[],0
16,1,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/web/OrderControllerTest.java,280,ftgo-order-service,63,73,11,test,[],0
17,0,ftgo-order-service/src/attic/AbstractOrderServiceComponentTest.java,187,ftgo-order-service,104,109,6,logic,[],0
17,1,ftgo-order-service/src/component-test/java/net/chrisrichardson/ftgo/orderservice/cucumber/OrderServiceComponentTestStepDefinitions.java,193,ftgo-order-service,156,161,6,logic,[],0
18,0,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagaparticipants/BeginReviseOrderCommand.java,242,ftgo-order-service,5,19,15,logic,[],0
18,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagaparticipants/ConfirmReviseOrderCommand.java,245,ftgo-order-service,5,19,15,logic,[],0
19,0,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,23,ftgo-accounting-service,14,26,13,logic,[],0
19,1,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,28,,15,27,13,logic,[],0
19,2,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,29,,14,26,13,logic,[],0
19,3,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/CreateTicket.java,152,,39,51,13,logic,[],0
20,0,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/CourierJpaTest.java,83,ftgo-delivery-service,19,33,15,logic,[],0
20,1,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/DeliveryJpaTest.java,84,ftgo-delivery-service,15,28,14,logic,[],0
20,2,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/RestaurantJpaTest.java,85,ftgo-delivery-service,16,30,15,logic,[],0
21,0,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/dynamodb/SourceEvent.java,173,ftgo-order-history-service,11,23,13,logic,[],0
21,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/LineItemQuantityChange.java,207,ftgo-order-service,8,20,13,logic,[],0
21,2,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/OrderRevisionProposed.java,222,ftgo-order-service,14,26,13,logic,[],0
22,0,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/LineItemQuantityChange.java,207,ftgo-order-service,11,26,16,logic,[],0
22,1,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/OrderRevisionProposed.java,222,ftgo-order-service,17,32,16,logic,[],0
