clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,76,81,6,test,[],0
1,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,donor-profile-service,49,54,6,test,[],0
1,2,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,donor-profile-service,61,66,6,test,[],0
1,3,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,69,74,6,test,[],0
1,4,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,81,86,6,test,[],0
1,5,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,105,search-service,51,56,6,test,[],0
1,6,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,105,search-service,63,68,6,test,[],0
2,0,reportservice/src/main/java/com/stackroute/reportservice/listener/Consumer.java,71,report-service,16,20,5,logic,[],0
2,1,search-service/src/main/java/com/stackroute/search/listener/DonorConsumer.java,86,search-service,20,24,5,logic,"[""dafa255c3e3aeb9d9d5b507008b89394d771aac5""]",1
3,0,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,9,donor-profile-service,26,31,6,config,[],0
3,1,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,9,donor-profile-service,27,32,6,config,"[""039b6bb72ee0b4b0f36794390160b1ec29a03a64""]",1
3,2,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,36,login-service,26,31,6,config,[],0
3,3,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,36,login-service,27,32,6,config,[],0
3,4,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/config/MailConfig.java,52,recepient-profile-service,27,32,6,config,[],0
3,5,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/config/MailConfig.java,52,recepient-profile-service,28,33,6,config,[],0
4,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,193,206,14,test,[],0
4,1,login-service/src/test/java/com/stackroute/login/controller/ControllerTest.java,48,login-service,97,116,20,test,[],0
4,2,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,159,173,15,test,[],0
4,3,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,117,131,15,test,[],0
5,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,88,93,6,test,[],0
5,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,donor-profile-service,49,54,6,test,[],0
5,2,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,69,74,6,test,[],0
5,3,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,105,search-service,51,56,6,test,[],0
6,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,174,180,7,test,[],0
6,1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,106,113,8,test,[],0
7,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,donor-profile-service,69,87,19,test,[],0
7,1,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,105,search-service,72,90,19,test,[],0
8,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,142,145,4,test,[],0
8,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,104,107,4,test,[],0
9,0,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,66,68,3,test,[],0
9,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/service/RecepientServiceTest.java,67,recepient-profile-service,51,53,3,test,[],0
10,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,122,125,4,test,[],0
10,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,125,128,4,test,[],0
10,2,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,145,148,4,test,[],0
11,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,152,155,4,test,[],0
11,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,114,118,5,test,[],0
12,0,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/controller/DonorController.java,11,donor-profile-service,125,134,10,logic,[],0
12,1,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/controller/RecepientController.java,54,recepient-profile-service,83,93,11,logic,[],0
13,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,97,112,16,test,[],0
13,1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,88,103,16,test,[],0
14,0,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/service/DonorService.java,24,donor-profile-service,12,23,12,logic,[],0
14,1,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/service/RecepientService.java,63,recepient-profile-service,11,22,12,logic,[],0
15,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,131,134,4,test,[],0
15,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,135,138,4,test,[],0
16,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,171,174,4,test,[],0
16,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,93,96,4,test,[],0
17,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,93,96,4,test,"[""fec6a4316bab4298f21cf461cd342f676bbae67c""]",1
17,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,donor-profile-service,64,67,4,test,[],0
18,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,163,170,8,test,[],0
18,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,172,179,8,test,[],0
18,2,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,182,189,8,test,[],0
18,3,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,115,124,10,test,[],0
19,0,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,67,81,15,test,[],0
19,1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,88,103,16,test,[],0
20,0,search-service/src/main/java/com/stackroute/search/controller/LookUpController.java,83,search-service,18,29,12,logic,"[""ec10dd5bc602853c0d94ee010806cf4ef9a33413""]",1
20,1,search-service/src/main/java/com/stackroute/search/controller/SearchController.java,84,search-service,19,31,13,logic,[],0
21,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,112,117,6,test,[],0
21,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,142,147,6,test,[],0
21,2,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,81,86,6,test,[],0
21,3,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,113,118,6,test,[],0
22,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,39,58,20,test,[],0
22,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,38,56,19,test,[],0
23,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,113,122,10,test,[],0
23,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,123,131,9,test,[],0
23,2,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,143,151,9,test,[],0
23,3,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,153,162,10,test,[],0
23,4,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,94,104,11,test,[],0
23,5,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,104,113,10,test,[],0
24,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,132,140,9,test,[],0
