clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,17,33,17,logic,[],0
1,1,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,51,67,17,logic,[],0
2,0,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,41,57,17,logic,[],0
2,1,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,27,43,17,logic,[],0
3,0,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,121,124,4,logic,[],0
3,1,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,122,125,4,logic,[],0
3,2,lifeline-angular-frontend/src/app/recepientdashboard/recepientdashboard.component.ts,62,lifeline-frontend,69,72,4,logic,[],0
4,0,lifeline-angular-frontend/src/app/donordashboardreports/donordashboardreports.component.ts,19,lifeline-frontend,29,50,22,logic,[],0
4,1,lifeline-angular-frontend/src/app/landingpagereports/landingpagereports.component.ts,37,lifeline-frontend,32,47,16,logic,"[""d6a8249c20bdab70a56057fd77caa8c230992b99""]",1
5,0,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,71,74,4,logic,[],0
5,1,lifeline-angular-frontend/src/app/recepientregistrationformcomponent/recepientregistrationformcomponent.component.ts,68,lifeline-frontend,28,30,3,logic,[],0
6,0,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,271,271,1,logic,[],0
6,1,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,271,271,1,logic,[],0
6,2,lifeline-angular-frontend/src/app/donordashboardreports/donordashboardreports.component.ts,19,lifeline-frontend,108,108,1,logic,[],0
6,3,lifeline-angular-frontend/src/app/donordashboardreports/donordashboardreports.component.ts,19,lifeline-frontend,108,108,1,logic,[],0
6,4,lifeline-angular-frontend/src/app/landingpagereports/landingpagereports.component.ts,37,lifeline-frontend,163,163,1,logic,[],0
6,5,lifeline-angular-frontend/src/app/landingpagereports/landingpagereports.component.ts,37,lifeline-frontend,163,163,1,logic,[],0
7,0,lifeline-angular-frontend/src/app/header/account/account.component.ts,27,lifeline-frontend,21,29,9,logic,[],0
7,1,lifeline-angular-frontend/src/app/header/header.component.ts,31,lifeline-frontend,15,23,9,logic,[],0
8,0,lifeline-angular-frontend/src/app/donordashboard/chat-donor-box/chat-donor-box.ts,13,lifeline-frontend,8,25,18,logic,[],0
8,1,lifeline-angular-frontend/src/app/recepientdashboard/chat-box/chat-box.ts,58,lifeline-frontend,9,26,18,logic,[],0
9,0,lifeline-angular-frontend/src/app/donordashboardreports/donordashboardreports.component.ts,19,lifeline-frontend,17,35,19,logic,[],0
9,1,lifeline-angular-frontend/src/app/landingpagereports/landingpagereports.component.ts,37,lifeline-frontend,81,141,61,logic,[],0
10,0,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,195,216,22,logic,[],0
10,1,lifeline-angular-frontend/src/app/landingpagereports/landingpagereports.component.ts,37,lifeline-frontend,81,141,61,logic,[],0
11,0,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,122,125,4,logic,[],0
11,1,lifeline-angular-frontend/src/app/recepientdashboard/recepientdashboard.component.ts,62,lifeline-frontend,65,68,4,logic,[],0
12,0,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,192,196,5,logic,[],0
12,1,lifeline-angular-frontend/src/app/recepientdashboard/recepientdashboard.component.ts,62,lifeline-frontend,104,108,5,logic,[],0
13,0,lifeline-angular-frontend/src/app/donordashboard/profile.component.ts,17,lifeline-frontend,173,176,4,logic,[],0
13,1,lifeline-angular-frontend/src/app/recepientdashboard/recepientdashboard.component.ts,62,lifeline-frontend,102,105,4,logic,[],0
14,0,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,67,70,4,logic,[],0
14,1,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,82,85,4,logic,[],0
14,2,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,95,98,4,logic,[],0
14,3,lifeline-angular-frontend/src/app/recepientregistrationformcomponent/recepientregistrationformcomponent.component.ts,68,lifeline-frontend,42,45,4,logic,[],0
15,0,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,80,83,4,logic,[],0
15,1,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,93,96,4,logic,[],0
15,2,lifeline-angular-frontend/src/app/recepientregistrationformcomponent/recepientregistrationformcomponent.component.ts,68,lifeline-frontend,44,47,4,logic,[],0
16,0,lifeline-angular-frontend/src/app/donor-registration-form/donor-registration-form.component.ts,11,lifeline-frontend,81,84,4,logic,[],0
