clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
1,0,ui-redis-front-end/redis-front/src/repositories/CommentsRepository.js,5,app-frontend,20,28,9,logic,[],0
1,1,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,9,app-frontend,43,51,9,logic,[],0
2,0,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,8,app-frontend,19,31,13,logic,[],0
2,1,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,9,app-frontend,23,35,13,logic,[],0
3,0,comments-service/server.js,1,app-comments,3,10,8,logic,[],0
3,1,notifications-service-node/server.js,2,ws-notifications-service,3,9,7,logic,[],0
4,0,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,4,app-frontend,4,30,27,logic,[],0
4,1,ui-redis-front-end/redis-front/src/repositories/DataStreamsProducerRepository.js,6,app-frontend,4,30,27,logic,[],0
4,2,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,7,app-frontend,4,30,27,logic,[],0
4,3,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,8,app-frontend,4,30,27,logic,[],0
4,4,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,9,app-frontend,4,30,27,logic,[],0
5,0,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,4,app-frontend,4,30,27,logic,[],0
5,1,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,7,app-frontend,4,30,27,logic,[],0
5,2,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,8,app-frontend,4,30,27,logic,[],0
6,0,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,4,app-frontend,4,30,27,logic,[],0
6,1,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,7,app-frontend,4,30,27,logic,[],0
7,0,ui-redis-front-end/redis-front/src/repositories/DataStreamsProducerRepository.js,6,app-frontend,4,31,28,logic,[],0
7,1,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,9,app-frontend,4,31,28,logic,[],0
