clone_id,file_path_x,file_path_y,file_id_x,file_id_y,start_line_x,end_line_x,start_line_y,end_line_y,service_x,service_y,relation,comodified,comodified_commits,comodification_count,file_type_x,file_type_y,token_count
12,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/CallAnalysis.java,42,44,88,93,49,54,,,,0,[],0,logic,logic,0
13,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,42,42,108,111,115,118,,,,0,[],0,logic,logic,0
13,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,42,42,108,111,122,125,,,,0,[],0,logic,logic,0
13,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/CallAnalysis.java,42,44,108,111,59,62,,,,0,[],0,logic,logic,0
13,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,42,42,115,118,122,125,,,,0,[],0,logic,logic,0
13,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/CallAnalysis.java,42,44,115,118,59,62,,,,0,[],0,logic,logic,0
13,old-docs/Json2Shiviz/src/main/java/org/services/analysis/TraceTranslator.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/CallAnalysis.java,42,44,122,125,59,62,,,,0,[],0,logic,logic,0
14,old-docs/ts-ui-test/src/test/java/TestFlowTwoRebook.java,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,47,50,35,45,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestFlowTwoRebook.java,old-docs/ts-ui-test/src/test/java/TestServiceSecurity.java,47,52,35,45,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestFlowTwoRebook.java,old-docs/ts-ui-test/src/test/java/TestServiceContacts.java,47,62,35,45,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestFlowTwoRebook.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,47,68,35,45,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,old-docs/ts-ui-test/src/test/java/TestServiceSecurity.java,50,52,20,27,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,old-docs/ts-ui-test/src/test/java/TestServiceContacts.java,50,62,20,27,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,50,68,20,27,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestServiceSecurity.java,old-docs/ts-ui-test/src/test/java/TestServiceContacts.java,52,62,20,27,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestServiceSecurity.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,52,68,20,27,20,27,,,,0,[],0,test,test,0
14,old-docs/ts-ui-test/src/test/java/TestServiceContacts.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,62,68,20,27,20,27,,,,0,[],0,test,test,0
15,old-docs/ts-ui-test/src/test/java/TestFlowTwoRebook.java,old-docs/ts-ui-test/src/test/java/TestFlowOne.java,47,57,93,96,216,219,,,,0,[],0,test,test,0
15,old-docs/ts-ui-test/src/test/java/TestFlowTwoRebook.java,old-docs/ts-ui-test/src/test/java/TestFlowTwoPay.java,47,66,93,96,86,89,,,,0,[],0,test,test,0
15,old-docs/ts-ui-test/src/test/java/TestFlowOne.java,old-docs/ts-ui-test/src/test/java/TestFlowTwoPay.java,57,66,216,219,86,89,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,48,50,60,64,25,28,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceRegister.java,48,54,60,64,40,44,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServicePayment.java,48,60,60,64,56,59,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceInsidePay.java,48,63,60,64,55,58,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,48,68,60,64,25,28,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,old-docs/ts-ui-test/src/test/java/TestServiceRegister.java,50,54,25,28,40,44,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,old-docs/ts-ui-test/src/test/java/TestServicePayment.java,50,60,25,28,56,59,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,old-docs/ts-ui-test/src/test/java/TestServiceInsidePay.java,50,63,25,28,55,58,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceSSO.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,50,68,25,28,25,28,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceRegister.java,old-docs/ts-ui-test/src/test/java/TestServicePayment.java,54,60,40,44,56,59,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceRegister.java,old-docs/ts-ui-test/src/test/java/TestServiceInsidePay.java,54,63,40,44,55,58,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceRegister.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,54,68,40,44,25,28,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServicePayment.java,old-docs/ts-ui-test/src/test/java/TestServiceInsidePay.java,60,63,56,59,55,58,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServicePayment.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,60,68,56,59,25,28,,,,0,[],0,test,test,0
16,old-docs/ts-ui-test/src/test/java/TestServiceInsidePay.java,old-docs/ts-ui-test/src/test/java/TestServiceExecute.java,63,68,55,58,25,28,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServicePrice.java,48,49,90,105,33,46,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceConfig.java,48,51,90,105,33,46,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceCancel.java,48,64,90,105,64,70,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceStation.java,48,67,90,105,33,46,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceTrain.java,48,69,90,105,36,49,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceTravel.java,old-docs/ts-ui-test/src/test/java/TestServiceTravel2.java,48,70,90,105,39,52,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServicePrice.java,old-docs/ts-ui-test/src/test/java/TestServiceConfig.java,49,51,33,46,33,46,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServicePrice.java,old-docs/ts-ui-test/src/test/java/TestServiceCancel.java,49,64,33,46,64,70,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServicePrice.java,old-docs/ts-ui-test/src/test/java/TestServiceStation.java,49,67,33,46,33,46,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServicePrice.java,old-docs/ts-ui-test/src/test/java/TestServiceTrain.java,49,69,33,46,36,49,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServicePrice.java,old-docs/ts-ui-test/src/test/java/TestServiceTravel2.java,49,70,33,46,39,52,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceConfig.java,old-docs/ts-ui-test/src/test/java/TestServiceCancel.java,51,64,33,46,64,70,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceConfig.java,old-docs/ts-ui-test/src/test/java/TestServiceStation.java,51,67,33,46,33,46,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceConfig.java,old-docs/ts-ui-test/src/test/java/TestServiceTrain.java,51,69,33,46,36,49,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceConfig.java,old-docs/ts-ui-test/src/test/java/TestServiceTravel2.java,51,70,33,46,39,52,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceCancel.java,old-docs/ts-ui-test/src/test/java/TestServiceStation.java,64,67,64,70,33,46,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceCancel.java,old-docs/ts-ui-test/src/test/java/TestServiceTrain.java,64,69,64,70,36,49,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceCancel.java,old-docs/ts-ui-test/src/test/java/TestServiceTravel2.java,64,70,64,70,39,52,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceStation.java,old-docs/ts-ui-test/src/test/java/TestServiceTrain.java,67,69,33,46,36,49,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceStation.java,old-docs/ts-ui-test/src/test/java/TestServiceTravel2.java,67,70,33,46,39,52,,,,0,[],0,test,test,0
17,old-docs/ts-ui-test/src/test/java/TestServiceTrain.java,old-docs/ts-ui-test/src/test/java/TestServiceTravel2.java,69,70,36,49,39,52,,,,0,[],0,test,test,0
18,old-docs/ts-ui-test/src/test/java/TestServiceSecurity.java,old-docs/ts-ui-test/src/test/java/TestServiceOrders.java,52,65,29,31,46,48,,,,0,[],0,test,test,0
19,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/async/TAAsp.java,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/schedl/TSAspect.java,89,98,25,35,21,31,,,,0,[],0,logic,logic,0
19,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/async/TAAsp.java,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/web/TWAsp.java,89,139,25,35,30,40,,,,0,[],0,logic,logic,0
19,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/async/TAAsp.java,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/mtc/CSBSMRep.java,89,153,25,35,7,18,,,,0,[],0,logic,logic,0
19,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/schedl/TSAspect.java,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/web/TWAsp.java,98,139,21,31,30,40,,,,0,[],0,logic,logic,0
19,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/schedl/TSAspect.java,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/mtc/CSBSMRep.java,98,153,21,31,7,18,,,,0,[],0,logic,logic,0
19,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/instrument/web/TWAsp.java,old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/mtc/CSBSMRep.java,139,153,30,40,7,18,,,,0,[],0,logic,logic,0
93,old-docs/Json2Shiviz/src/main/java/org/services/analysis/AggregateEachCase.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/AggregateAllCases.java,41,43,31,36,21,26,,,,0,[],0,logic,logic,0
93,old-docs/Json2Shiviz/src/main/java/org/services/analysis/AggregateEachCase.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/CalculateEventAndNode.java,41,45,31,36,23,28,,,,0,[],0,logic,logic,0
93,old-docs/Json2Shiviz/src/main/java/org/services/analysis/AggregateAllCases.java,old-docs/Json2Shiviz/src/main/java/org/services/analysis/CalculateEventAndNode.java,43,45,21,26,23,28,,,,0,[],0,logic,logic,0
94,old-docs/ts-ui-test/src/test/java/TestServiceSecurity.java,old-docs/ts-ui-test/src/test/java/TestServiceRebook.java,52,53,40,43,142,145,,,,0,[],0,test,test,0
94,old-docs/ts-ui-test/src/test/java/TestServiceSecurity.java,old-docs/ts-ui-test/src/test/java/TestServiceRegister.java,52,54,40,43,46,51,,,,0,[],0,test,test,0
