clone_id,file_path_x,file_path_y,file_id_x,file_id_y,start_line_x,end_line_x,start_line_y,end_line_y,service_x,service_y,relation,comodified,comodified_commits,comodification_count,file_type_x,file_type_y,token_count
1,go/launcher/client/client.go,go/opentelemetry/client/client.go,2,4,31,35,78,82,go-launcher-client,,,0,[],0,logic,logic,0
1,go/opentelemetry/client/client.go,go/otlp/client/client.go,4,8,78,82,94,98,,go-otlp-client,,0,[],0,logic,logic,0
2,go/launcher/client/client.go,go/opentelemetry/client/client.go,2,4,36,49,81,94,go-launcher-client,,,0,[],0,logic,logic,0
4,go/opentelemetry/client/client.go,go/opentracing/server/server.go,4,7,36,49,58,71,,go-opentracing-server,,0,[],0,logic,logic,0
5,go/opentelemetry/server/server.go,go/opentracing/client/client.go,5,6,65,78,30,43,,go-opentracing-client,,0,[],0,logic,logic,0
6,go/opentelemetry/client/client.go,go/opentracing/client/client.go,4,6,34,49,28,43,,go-opentracing-client,,0,[],0,logic,logic,0
7,go/opentelemetry/client/client.go,go/opentelemetry/server/server.go,4,5,65,77,94,106,,,,0,[],0,logic,logic,0
7,go/opentelemetry/client/client.go,go/server.go,4,10,65,77,19,34,,,,0,[],0,logic,logic,0
7,go/opentelemetry/server/server.go,go/server.go,5,10,94,106,19,34,,,,0,[],0,logic,logic,0
8,go/client.go,go/first_tracer.go,0,1,23,37,16,29,,,,0,[],0,logic,logic,0
8,go/client.go,go/opentelemetry/client/client.go,0,4,23,37,65,78,,,,0,[],0,logic,logic,0
8,go/first_tracer.go,go/opentelemetry/client/client.go,1,4,16,29,65,78,,,,0,[],0,logic,logic,0
9,go/client.go,go/first_tracer.go,0,1,23,39,16,30,,,,0,[],0,logic,logic,0
9,go/client.go,go/opentelemetry/server/server.go,0,5,23,39,94,108,,,,0,[],0,logic,logic,0
9,go/first_tracer.go,go/opentelemetry/server/server.go,1,5,16,30,94,108,,,,0,[],0,logic,logic,0
11,go/client.go,go/first_tracer.go,0,1,22,36,15,28,,,,0,[],0,logic,logic,0
11,go/client.go,go/server.go,0,10,22,36,16,34,,,,0,[],0,logic,logic,0
11,go/first_tracer.go,go/server.go,1,10,15,28,16,34,,,,0,[],0,logic,logic,0
12,go/opentelemetry/client/client.go,go/otlp/client/client.go,4,8,81,103,100,122,,go-otlp-client,,0,[],0,logic,logic,0
13,go/client.go,go/first_tracer.go,0,1,22,39,15,30,,,,0,[],0,logic,logic,0
14,go/launcher/server/server.go,go/opentelemetry/server/server.go,3,5,59,73,110,124,go-launcher-server,,,0,[],0,logic,logic,0
14,go/opentelemetry/server/server.go,go/otlp/server/server.go,5,9,110,124,128,142,,go-otlp-server,,0,[],0,logic,logic,0
17,go/launcher/server/server.go,go/opentelemetry/server/server.go,3,5,27,55,38,66,go-launcher-server,,,0,[],0,logic,logic,0
17,go/opentelemetry/server/server.go,go/opentracing/server/server.go,5,7,38,66,31,59,,go-opentracing-server,,0,[],0,logic,logic,0
18,go/opentelemetry/server/server.go,go/otlp/server/server.go,5,9,99,124,116,142,,go-otlp-server,,0,[],0,logic,logic,0
19,go/opentelemetry/server/server.go,go/otlp/server/server.go,5,9,32,65,36,69,,go-otlp-server,,0,[],0,logic,logic,0
21,go/opentelemetry/client/client.go,go/opentelemetry/server/server.go,4,5,36,78,65,107,,,,0,[],0,logic,logic,0
22,go/opentelemetry/server/server.go,go/opentracing/server/server.go,5,7,36,78,29,71,,go-opentracing-server,,0,[],0,logic,logic,0
