clone_id,file_path_x,file_path_y,file_id_x,file_id_y,start_line_x,end_line_x,start_line_y,end_line_y,service_x,service_y,relation,comodified,comodified_commits,comodification_count,file_type_x,file_type_y,token_count
1,python/launcher/server.py,python/lstrace/server.py,6,9,58,68,58,68,py-launcher-client,py-lstrace-client,inter,0,[],0,logic,logic,0
1,python/launcher/server.py,python/opentracing/server.py,6,11,58,68,60,70,py-launcher-client,py-opentracing-client,inter,0,[],0,logic,logic,0
1,python/launcher/server.py,python/otlp/server.py,6,14,58,68,58,68,py-launcher-client,py-otlp-server,inter,0,[],0,logic,logic,0
1,python/lstrace/server.py,python/opentracing/server.py,9,11,58,68,60,70,py-lstrace-client,py-opentracing-client,inter,0,[],0,logic,logic,0
1,python/lstrace/server.py,python/otlp/server.py,9,14,58,68,58,68,py-lstrace-client,py-otlp-server,inter,0,[],0,logic,logic,0
1,python/opentracing/server.py,python/otlp/server.py,11,14,60,70,58,68,py-opentracing-client,py-otlp-server,inter,0,[],0,logic,logic,0
2,python/launcher/server.py,python/lstrace/server.py,6,9,50,58,50,58,py-launcher-client,py-lstrace-client,inter,0,[],0,logic,logic,0
2,python/launcher/server.py,python/opentracing/server.py,6,11,50,58,52,60,py-launcher-client,py-opentracing-client,inter,0,[],0,logic,logic,0
2,python/launcher/server.py,python/otlp/server.py,6,14,50,58,50,58,py-launcher-client,py-otlp-server,inter,0,[],0,logic,logic,0
2,python/lstrace/server.py,python/opentracing/server.py,9,11,50,58,52,60,py-lstrace-client,py-opentracing-client,inter,0,[],0,logic,logic,0
2,python/lstrace/server.py,python/otlp/server.py,9,14,50,58,50,58,py-lstrace-client,py-otlp-server,inter,0,[],0,logic,logic,0
2,python/opentracing/server.py,python/otlp/server.py,11,14,52,60,50,58,py-opentracing-client,py-otlp-server,inter,0,[],0,logic,logic,0
3,demo-client/lstrace/client.py,demo-client/otlp/client.py,0,1,11,30,8,27,demo-client-lstrace,demo-client-otlp,inter,1,"[""d4628d3a8092028b2ac772113e70b345b5acfb71""]",1,logic,logic,0
4,python/launcher/client.py,python/lstrace/client.py,5,7,19,39,20,40,py-launcher-client,py-lstrace-client,inter,0,[],0,logic,logic,0
4,python/launcher/client.py,python/otlp/client.py,5,12,19,39,17,39,py-launcher-client,py-otlp-server,inter,0,[],0,logic,logic,0
4,python/lstrace/client.py,python/otlp/client.py,7,12,20,40,17,39,py-lstrace-client,py-otlp-server,inter,0,[],0,logic,logic,0
5,python/lstrace/client.py,python/otlp/client.py,7,12,20,40,17,39,py-lstrace-client,py-otlp-server,inter,0,[],0,logic,logic,0
6,python/launcher/server.py,python/lstrace/server.py,6,9,15,50,15,50,py-launcher-client,py-lstrace-client,inter,0,[],0,logic,logic,0
6,python/launcher/server.py,python/opentracing/server.py,6,11,15,50,17,52,py-launcher-client,py-opentracing-client,inter,0,[],0,logic,logic,0
6,python/launcher/server.py,python/otlp/server.py,6,14,15,50,15,50,py-launcher-client,py-otlp-server,inter,0,[],0,logic,logic,0
6,python/lstrace/server.py,python/opentracing/server.py,9,11,15,50,17,52,py-lstrace-client,py-opentracing-client,inter,0,[],0,logic,logic,0
6,python/lstrace/server.py,python/otlp/server.py,9,14,15,50,15,50,py-lstrace-client,py-otlp-server,inter,0,[],0,logic,logic,0
6,python/opentracing/server.py,python/otlp/server.py,11,14,17,52,15,50,py-opentracing-client,py-otlp-server,inter,0,[],0,logic,logic,0
7,python/launcher/server.py,python/lstrace/server.py,6,9,15,80,15,80,py-launcher-client,py-lstrace-client,inter,0,[],0,logic,logic,0
7,python/launcher/server.py,python/otlp/server.py,6,14,15,80,15,80,py-launcher-client,py-otlp-server,inter,0,[],0,logic,logic,0
7,python/lstrace/server.py,python/otlp/server.py,9,14,15,80,15,80,py-lstrace-client,py-otlp-server,inter,0,[],0,logic,logic,0
8,python/lstrace/server.py,python/otlp/server.py,9,14,15,80,15,80,py-lstrace-client,py-otlp-server,inter,0,[],0,logic,logic,0
