clone_id,file_path_x,file_path_y,file_id_x,file_id_y,start_line_x,end_line_x,start_line_y,end_line_y,service_x,service_y,relation,comodified,comodified_commits,comodification_count,file_type_x,file_type_y,token_count
1,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/messaging/AccountServiceChannelConfiguration.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/RevisedOrder.java,19,232,5,19,5,19,ftgo-accounting-service,ftgo-order-service,inter,0,[],0,logic,logic,0
5,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/messaging/RestaurantEventMapper.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/messaging/RestaurantEventMapper.java,101,238,12,13,19,20,ftgo-delivery-service,ftgo-order-service,inter,0,[],0,logic,logic,0
6,ftgo-delivery-service/src/test/java/net/chrisrichardson/ftgo/deliveryservice/domain/DeliveryServiceTest.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/domain/OrderServiceTest.java,104,272,51,60,57,64,ftgo-delivery-service,ftgo-order-service,inter,0,[],0,test,test,0
7,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/dynamodb/Order.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/Order.java,170,210,43,59,68,84,ftgo-order-history-service,ftgo-order-service,inter,0,[],0,logic,logic,0
8,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/main/AccountingServiceMain.java,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/main/OrderHistoryServiceMain.java,15,175,16,26,13,23,ftgo-accounting-service,ftgo-order-history-service,inter,0,[],0,logic,logic,0
9,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Restaurant.java,23,96,7,20,12,26,ftgo-accounting-service,ftgo-delivery-service,inter,0,[],0,logic,logic,0
9,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/web/GetOrderResponse.java,23,264,7,20,7,20,ftgo-accounting-service,ftgo-order-service,inter,0,[],0,logic,logic,0
9,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Restaurant.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/web/GetOrderResponse.java,96,264,12,26,7,20,ftgo-delivery-service,ftgo-order-service,inter,0,[],0,logic,logic,0
10,ftgo-api-gateway/src/main/java/net/chrisrichardson/ftgo/apiagateway/proxies/OrderInfo.java,ftgo-restaurant-service/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/Restaurant.java,42,296,12,24,32,44,ftgo-api-gateway,ftgo-restaurant-service,inter,0,[],0,logic,logic,0
11,ftgo-consumer-service/src/main/java/net/chrisrichardson/ftgo/consumerservice/api/ValidateOrderByConsumer.java,ftgo-restaurant-service/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/RestaurantMenu.java,61,298,13,26,19,32,ftgo-consumer-service,ftgo-restaurant-service,inter,0,[],0,logic,logic,0
12,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Delivery.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,91,279,81,98,17,35,ftgo-delivery-service,ftgo-order-service,inter,0,[],0,logic,test,0
12,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Delivery.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,91,279,81,98,21,39,ftgo-delivery-service,ftgo-order-service,inter,0,[],0,logic,test,0
12,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Delivery.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,91,279,81,98,24,43,ftgo-delivery-service,ftgo-order-service,inter,0,[],0,logic,test,0
12,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Delivery.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,91,279,81,98,29,47,ftgo-delivery-service,ftgo-order-service,inter,0,[],0,logic,test,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,279,17,35,21,39,ftgo-order-service,ftgo-order-service,intra,0,[],0,test,test,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,279,17,35,24,43,ftgo-order-service,ftgo-order-service,intra,0,[],0,test,test,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,279,17,35,29,47,ftgo-order-service,ftgo-order-service,intra,0,[],0,test,test,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,279,21,39,24,43,ftgo-order-service,ftgo-order-service,intra,0,[],0,test,test,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,279,21,39,29,47,ftgo-order-service,ftgo-order-service,intra,0,[],0,test,test,0
