clone_id,file_path_x,file_path_y,file_id_x,file_id_y,start_line_x,end_line_x,start_line_y,end_line_y,service_x,service_y,relation,comodified,comodified_commits,comodification_count,file_type_x,file_type_y,token_count
2,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountingservice/web/GetAccountResponse.java,ftgo-common/src/test/java/net/chrisrichardson/ftgo/common/MoneySerializationTest.java,22,59,6,21,42,58,ftgo-accounting-service,,,0,[],0,logic,test,0
3,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,23,28,14,28,15,29,ftgo-accounting-service,,,0,[],0,logic,logic,0
3,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,23,29,14,28,14,28,ftgo-accounting-service,,,0,[],0,logic,logic,0
3,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/ConfirmReviseTicketCommand.java,23,151,14,28,16,31,ftgo-accounting-service,,,0,[],0,logic,logic,0
3,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,28,29,15,29,14,28,,,,0,[],0,logic,logic,0
3,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/ConfirmReviseTicketCommand.java,28,151,15,29,16,31,,,,0,[],0,logic,logic,0
3,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/ConfirmReviseTicketCommand.java,29,151,14,28,16,31,,,,0,[],0,logic,logic,0
4,ftgo-consumer-service/src/main/java/net/chrisrichardson/ftgo/consumerservice/web/CreateConsumerRequest.java,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/lambda/GetRestaurantResponse.java,73,332,5,19,3,17,ftgo-consumer-service,,,0,[],0,logic,logic,0
9,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,23,28,7,20,8,21,ftgo-accounting-service,,,0,[],0,logic,logic,0
9,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,23,29,7,20,7,20,ftgo-accounting-service,,,0,[],0,logic,logic,0
9,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,28,29,8,21,7,20,,,,0,[],0,logic,logic,0
9,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Restaurant.java,28,96,8,21,12,26,,ftgo-delivery-service,,0,[],0,logic,logic,0
9,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/web/GetOrderResponse.java,28,264,8,21,7,20,,ftgo-order-service,,0,[],0,logic,logic,0
9,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Restaurant.java,29,96,7,20,12,26,,ftgo-delivery-service,,0,[],0,logic,logic,0
9,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/web/GetOrderResponse.java,29,264,7,20,7,20,,ftgo-order-service,,0,[],0,logic,logic,0
10,ftgo-api-gateway/src/main/java/net/chrisrichardson/ftgo/apiagateway/proxies/OrderInfo.java,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/Restaurant.java,42,321,12,24,32,44,ftgo-api-gateway,,,0,[],0,logic,logic,0
10,ftgo-restaurant-service/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/Restaurant.java,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/Restaurant.java,296,321,32,44,32,44,ftgo-restaurant-service,,,0,[],0,logic,logic,0
11,ftgo-consumer-service/src/main/java/net/chrisrichardson/ftgo/consumerservice/api/ValidateOrderByConsumer.java,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/RestaurantMenu.java,61,322,13,26,19,32,ftgo-consumer-service,,,0,[],0,logic,logic,0
11,ftgo-restaurant-service/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/RestaurantMenu.java,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/domain/RestaurantMenu.java,298,322,19,32,19,32,ftgo-restaurant-service,,,0,[],0,logic,logic,0
12,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Delivery.java,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/events/OrderLineItem.java,91,286,81,98,70,88,ftgo-delivery-service,,,0,[],0,logic,logic,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/events/OrderLineItem.java,279,286,17,35,70,88,ftgo-order-service,,,0,[],0,test,logic,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/events/OrderLineItem.java,279,286,21,39,70,88,ftgo-order-service,,,0,[],0,test,logic,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/events/OrderLineItem.java,279,286,24,43,70,88,ftgo-order-service,,,0,[],0,test,logic,0
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service-api/src/main/java/net/chrisrichardson/ftgo/orderservice/api/events/OrderLineItem.java,279,286,29,47,70,88,ftgo-order-service,,,0,[],0,test,logic,0
19,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,23,28,14,26,15,27,ftgo-accounting-service,,,0,[],0,logic,logic,0
19,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,23,29,14,26,14,26,ftgo-accounting-service,,,0,[],0,logic,logic,0
19,ftgo-accounting-service/src/main/java/net/chrisrichardson/ftgo/accountservice/api/AuthorizeCommand.java,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/CreateTicket.java,23,152,14,26,39,51,ftgo-accounting-service,,,0,[],0,logic,logic,0
19,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,28,29,15,27,14,26,,,,0,[],0,logic,logic,0
19,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReverseAuthorizationCommand.java,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/CreateTicket.java,28,152,15,27,39,51,,,,0,[],0,logic,logic,0
19,ftgo-accounting-service-api/src/main/java/net/chrisrichardson/ftgo/accountservice/api/ReviseAuthorization.java,ftgo-kitchen-service-api/src/main/java/net/chrisrichardson/ftgo/kitchenservice/api/CreateTicket.java,29,152,14,26,39,51,,,,0,[],0,logic,logic,0
22,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/LineItemQuantityChange.java,ftgo-restaurant-service-aws-lambda/src/main/java/net/chrisrichardson/ftgo/restaurantservice/aws/AwsLambdaError.java,207,316,11,26,14,29,ftgo-order-service,,,0,[],0,logic,logic,0
