clone_id,file_path_x,file_path_y,file_id_x,file_id_y,start_line_x,end_line_x,start_line_y,end_line_y,service_x,service_y,relation,comodified,comodified_commits,comodification_count,file_type_x,file_type_y,token_count
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,27,29,76,81,49,54,donor-profile-service,donor-profile-service,intra,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,27,29,76,81,61,66,donor-profile-service,donor-profile-service,intra,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,27,103,76,81,69,74,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,27,103,76,81,81,86,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,27,105,76,81,51,56,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,27,105,76,81,63,68,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,29,49,54,61,66,donor-profile-service,donor-profile-service,intra,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,29,103,49,54,69,74,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,29,103,49,54,81,86,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,29,105,49,54,51,56,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,29,105,49,54,63,68,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,29,103,61,66,69,74,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,29,103,61,66,81,86,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,29,105,61,66,51,56,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,29,105,61,66,63,68,donor-profile-service,search-service,inter,0,[],0,test,test,0
1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,103,69,74,81,86,search-service,search-service,intra,0,[],0,test,test,0
1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,103,105,69,74,51,56,search-service,search-service,intra,0,[],0,test,test,0
1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,103,105,69,74,63,68,search-service,search-service,intra,0,[],0,test,test,0
1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,103,105,81,86,51,56,search-service,search-service,intra,0,[],0,test,test,0
1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,103,105,81,86,63,68,search-service,search-service,intra,0,[],0,test,test,0
1,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,105,105,51,56,63,68,search-service,search-service,intra,0,[],0,test,test,0
2,reportservice/src/main/java/com/stackroute/reportservice/listener/Consumer.java,search-service/src/main/java/com/stackroute/search/listener/DonorConsumer.java,71,86,16,20,20,24,report-service,search-service,inter,0,[],0,logic,logic,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,9,9,26,31,27,32,donor-profile-service,donor-profile-service,intra,0,[],0,config,config,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,9,36,26,31,26,31,donor-profile-service,login-service,inter,0,[],0,config,config,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,9,36,26,31,27,32,donor-profile-service,login-service,inter,0,[],0,config,config,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/config/MailConfig.java,9,52,26,31,27,32,donor-profile-service,recepient-profile-service,inter,0,[],0,config,config,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/config/MailConfig.java,9,52,26,31,28,33,donor-profile-service,recepient-profile-service,inter,0,[],0,config,config,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,9,36,27,32,26,31,donor-profile-service,login-service,inter,0,[],0,config,config,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,9,36,27,32,27,32,donor-profile-service,login-service,inter,0,[],0,config,config,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/config/MailConfig.java,9,52,27,32,27,32,donor-profile-service,recepient-profile-service,inter,0,[],0,config,config,0
3,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/config/MailConfig.java,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/config/MailConfig.java,9,52,27,32,28,33,donor-profile-service,recepient-profile-service,inter,0,[],0,config,config,0
3,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,36,36,26,31,27,32,login-service,login-service,intra,0,[],0,config,config,0
3,login-service/src/main/java/com/stackroute/login/config/MailConfig.java,recepient-profile-service/src/main/java/com/stackroute/recepientprofileservice/config/MailConfig.java,36,52,26,31,27,32,login-service,recepient-profile-service,inter,0,[],0,config,config,0
