clone_id,file_path_x,file_path_y,file_id_x,file_id_y,start_line_x,end_line_x,start_line_y,end_line_y,service_x,service_y,relation,comodified,comodified_commits,comodification_count,file_type_x,file_type_y,token_count
1,ui-redis-front-end/redis-front/src/repositories/CommentsRepository.js,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,5,9,20,28,43,51,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
2,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,8,9,19,31,23,35,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
3,comments-service/server.js,notifications-service-node/server.js,1,2,3,10,3,9,app-comments,ws-notifications-service,inter,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsProducerRepository.js,4,6,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,4,7,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,4,8,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,4,9,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/DataStreamsProducerRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,6,7,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/DataStreamsProducerRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,6,8,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/DataStreamsProducerRepository.js,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,6,9,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,7,8,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,7,9,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
4,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,8,9,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
5,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,4,7,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
5,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,4,8,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
5,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsToGraphRepository.js,7,8,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
6,ui-redis-front-end/redis-front/src/repositories/CacheInvalidatorRepository.js,ui-redis-front-end/redis-front/src/repositories/DataStreamsRedisHashSyncRepository.js,4,7,4,30,4,30,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
7,ui-redis-front-end/redis-front/src/repositories/DataStreamsProducerRepository.js,ui-redis-front-end/redis-front/src/repositories/RDBMSRepository.js,6,9,4,31,4,31,app-frontend,app-frontend,intra,0,[],0,logic,logic,0
